#;Name;Type 1;Type 2;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Generation;Legendary;CP
1;Bulbasaur;Grass;Poison;318;45;49;49;65;65;45;1;False;396.5934947
2;Ivysaur;Grass;Poison;405;60;62;63;80;80;60;1;False;588.9367538
3;Venusaur;Grass;Poison;525;80;82;83;100;100;80;1;False;935.9369103
3;VenusaurMega Venusaur;Grass;Poison;625;80;100;123;122;120;80;1;False;1316.737445
4;Charmander;Fire;;309;39;52;43;60;50;65;1;False;374.9606379
5;Charmeleon;Fire;;405;58;64;58;80;65;80;1;False;576.7
6;Charizard;Fire;Flying;534;78;84;78;109;85;100;1;False;920.7
6;CharizardMega Charizard X;Fire;Dragon;634;78;130;111;130;85;100;1;False;1569.620814
6;CharizardMega Charizard Y;Fire;Flying;634;78;104;78;159;115;100;1;False;1106.7
7;Squirtle;Water;;314;44;48;65;50;64;43;1;False;432.8242137
8;Wartortle;Water;;405;59;63;80;65;80;58;1;False;653.9917431
9;Blastoise;Water;;530;79;83;100;85;105;78;1;False;1018.917268
9;BlastoiseMega Blastoise;Water;;630;79;103;120;135;115;78;1;False;1329.268822
10;Caterpie;Bug;;195;45;30;35;20;20;45;1;False;246.4751509
11;Metapod;Bug;;205;50;20;55;25;25;30;1;False;236.0879074
12;Butterfree;Bug;Flying;395;60;45;50;90;80;70;1;False;418.9272013
13;Weedle;Bug;Poison;195;40;35;30;20;20;50;1;False;248.7468593
14;Kakuna;Bug;Poison;205;45;25;50;25;25;35;1;False;249.7999199
15;Beedrill;Bug;Poison;395;65;90;40;45;80;75;1;False;696.491206
15;BeedrillMega Beedrill;Bug;Poison;495;65;150;40;15;80;145;1;False;1094.486181
16;Pidgey;Normal;Flying;251;40;45;40;35;35;56;1;False;330
17;Pidgeotto;Normal;Flying;349;63;60;55;50;50;71;1;False;554.1885961
18;Pidgeot;Normal;Flying;479;83;80;75;70;70;101;1;False;892.191123
18;PidgeotMega Pidgeot;Normal;Flying;579;83;80;80;135;80;121;1;False;916.639242
19;Rattata;Normal;;253;30;56;35;25;35;72;1;False;336.7825708
20;Raticate;Normal;;413;55;81;60;50;70;97;1;False;695.5860838
21;Spearow;Normal;Flying;262;40;60;30;31;31;70;1;False;373.1202889
22;Fearow;Normal;Flying;442;65;90;65;61;61;100;1;False;840
23;Ekans;Poison;;288;35;60;44;40;54;55;1;False;407.3542684
24;Arbok;Poison;;438;60;85;69;65;79;80;1;False;793.7253933
25;Pikachu;Electric;;320;35;55;40;50;50;90;1;False;367.0830969
26;Raichu;Electric;;485;60;90;55;90;80;110;1;False;760.7972792
27;Sandshrew;Ground;;300;50;75;85;20;30;40;1;False;725.6031973
28;Sandslash;Ground;;450;75;100;110;45;55;65;1;False;1219.759198
29;Nidoran♀;Poison;;275;55;47;52;40;40;41;1;False;424.598163
30;Nidorina;Poison;;365;70;62;67;55;55;56;1;False;642.8462491
31;Nidoqueen;Poison;Ground;505;90;92;87;75;85;76;1;False;1107.33369
32;Nidoran♂;Poison;;273;46;57;40;40;40;50;1;False;417.0410052
33;Nidorino;Poison;;365;61;72;57;55;55;65;1;False;643.5648219
34;Nidoking;Poison;Ground;505;81;102;77;85;75;85;1;False;1099.551036
35;Clefairy;Fairy;;323;70;45;48;60;65;35;1;False;439.067193
36;Clefable;Fairy;;483;95;70;73;95;90;60;1;False;836.2894236
37;Vulpix;Fire;;299;38;41;40;50;65;65;1;False;302.3481437
38;Ninetales;Fire;;505;73;76;75;81;100;100;1;False;809.8488748
39;Jigglypuff;Normal;Fairy;270;115;45;20;45;25;20;1;False;404.7221269
40;Wigglytuff;Normal;Fairy;435;140;70;45;85;50;45;1;False;819.7103147
41;Zubat;Poison;Flying;245;40;45;35;30;40;55;1;False;314.6426545
