#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,CP,Over
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,396.5934947,0
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,588.9367538,0
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,935.9369103,0
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,1316.737445,1
4,Charmander,Fire,None,309,39,52,43,60,50,65,1,False,374.9606379,0
5,Charmeleon,Fire,None,405,58,64,58,80,65,80,1,False,576.7,0
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,920.7,0
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,1569.620814,1
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,1106.7,0
7,Squirtle,Water,None,314,44,48,65,50,64,43,1,False,432.8242137,0
8,Wartortle,Water,None,405,59,63,80,65,80,58,1,False,653.9917431,0
9,Blastoise,Water,None,530,79,83,100,85,105,78,1,False,1018.917268,0
9,BlastoiseMega Blastoise,Water,None,630,79,103,120,135,115,78,1,False,1329.268822,1
10,Caterpie,Bug,None,195,45,30,35,20,20,45,1,False,246.4751509,0
11,Metapod,Bug,None,205,50,20,55,25,25,30,1,False,236.0879074,0
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,418.9272013,0
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,248.7468593,0
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,249.7999199,0
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,696.491206,0
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,1094.486181,0
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,330,0
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,554.1885961,0
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,892.191123,0
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,916.639242,0
19,Rattata,Normal,None,253,30,56,35,25,35,72,1,False,336.7825708,0
20,Raticate,Normal,None,413,55,81,60,50,70,97,1,False,695.5860838,0
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,373.1202889,0
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,840,0
23,Ekans,Poison,None,288,35,60,44,40,54,55,1,False,407.3542684,0
24,Arbok,Poison,None,438,60,85,69,65,79,80,1,False,793.7253933,0
25,Pikachu,Electric,None,320,35,55,40,50,50,90,1,False,367.0830969,0
26,Raichu,Electric,None,485,60,90,55,90,80,110,1,False,760.7972792,0
27,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,False,725.6031973,0
28,Sandslash,Ground,None,450,75,100,110,45,55,65,1,False,1219.759198,1
29,Nidoranâ™€,Poison,None,275,55,47,52,40,40,41,1,False,424.598163,0
30,Nidorina,Poison,None,365,70,62,67,55,55,56,1,False,642.8462491,0
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,1107.33369,0
32,Nidoranâ™‚,Poison,None,273,46,57,40,40,40,50,1,False,417.0410052,0
33,Nidorino,Poison,None,365,61,72,57,55,55,65,1,False,643.5648219,0
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,1099.551036,0
35,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,False,439.067193,0
36,Clefable,Fairy,None,483,95,70,73,95,90,60,1,False,836.2894236,0
37,Vulpix,Fire,None,299,38,41,40,50,65,65,1,False,302.3481437,0
38,Ninetales,Fire,None,505,73,76,75,81,100,100,1,False,809.8488748,0
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,404.7221269,0
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,819.7103147,0
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,314.6426545,0
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,830.910645,0
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,421.2481454,0
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,638.7487769,0
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,901.2491331,0
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,502.8667816,0
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,928.5068659,0
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,488.7484015,0
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,638.7487769,0
50,Diglett,Ground,None,265,10,55,25,35,45,95,1,False,221.3594362,0
51,Dugtrio,Ground,None,405,35,80,50,50,70,120,1,False,541.5833269,0
52,Meowth,Normal,None,290,40,45,35,40,40,90,1,False,314.6426545,0
53,Persian,Normal,None,440,65,70,60,65,65,115,1,False,658.4071689,0
54,Psyduck,Water,None,320,50,52,48,65,50,55,1,False,428.7476531,0
55,Golduck,Water,None,500,80,82,78,95,80,85,1,False,911.7484028,0
56,Mankey,Fighting,None,305,40,80,35,35,45,70,1,False,498.1842029,0
57,Primeape,Fighting,None,455,65,105,60,60,70,95,1,False,929.5160031,0
58,Growlithe,Fire,None,350,55,70,45,70,50,60,1,False,550.8629594,0
59,Arcanine,Fire,None,555,90,110,80,100,80,95,1,False,1248.436522,1
60,Poliwag,Water,None,300,40,50,40,40,40,90,1,False,357.5,0
61,Poliwhirl,Water,None,385,65,65,65,50,50,90,1,False,640,0
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,1182.180189,0
63,Abra,Psychic,None,310,25,20,15,105,55,90,1,False,121.2435565,0
64,Kadabra,Psychic,None,400,40,35,30,120,70,105,1,False,248.7468593,0
65,Alakazam,Psychic,None,500,55,50,45,135,95,120,1,False,421.2481454,0
65,AlakazamMega Alakazam,Psychic,None,590,55,50,65,175,95,150,1,False,486.4154603,0
66,Machop,Fighting,None,305,70,80,50,35,35,35,1,False,706.1382655,0
67,Machoke,Fighting,None,405,80,100,70,50,60,45,1,False,1033.401543,0
68,Machamp,Fighting,None,505,90,130,80,65,85,55,1,False,1448.186366,1
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,513.0789413,0
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,757.1657678,0
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,1046.135746,0
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,288.4224332,0
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,741.0128204,0
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,755.5337517,0
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,1049.333122,0
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,1584.45377,1
77,Ponyta,Fire,None,410,50,85,55,65,65,90,1,False,674.5368782,0
78,Rapidash,Fire,None,500,65,100,70,80,80,105,1,False,948.3142939,0
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,733.2121112,0
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,1055.343546,0
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,1318.123666,1
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,291.5475947,0
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,634.1825447,0
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,547.8685974,0
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,547.7225575,0
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,998.0449639,0
86,Seel,Water,None,325,65,45,55,45,70,45,1,False,448.9988864,0
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,848.9368351,0
88,Grimer,Poison,None,325,80,80,50,40,50,25,1,False,746.5210982,0
89,Muk,Poison,None,500,105,105,75,65,100,50,1,False,1247.076581,1
90,Shellder,Water,None,305,30,65,100,45,25,40,1,False,575.4997828,0
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,1238.416327,1
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,225,0
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,390,0
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,600,0
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False,675.2777206,0
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,561.248608,0
96,Drowzee,Psychic,None,328,60,48,45,43,90,42,1,False,422.6168477,0
97,Hypno,Psychic,None,483,85,73,70,73,115,67,1,False,811.3199122,0
98,Krabby,Water,None,325,30,105,90,25,25,50,1,False,824.8636251,0
99,Kingler,Water,None,475,55,130,115,50,50,75,1,False,1383.211842,1
100,Voltorb,Electric,None,330,40,30,50,55,55,100,1,False,269.0608667,0
101,Electrode,Electric,None,480,60,50,70,80,80,140,1,False,518.9833812,0
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,464.2534329,0
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,1153.689733,0
104,Cubone,Ground,None,320,50,50,95,40,50,35,1,False,549.6248721,0
105,Marowak,Ground,None,425,60,80,110,50,80,45,1,False,919.8335447,0
106,Hitmonlee,Fighting,None,455,50,120,53,35,110,87,1,False,897.5215875,0
107,Hitmonchan,Fighting,None,455,50,105,79,35,110,76,1,False,937.9978678,0
108,Lickitung,Normal,None,385,90,55,75,60,75,30,1,False,680.4777733,0
109,Koffing,Poison,None,340,40,65,95,60,45,35,1,False,622.2539674,0
110,Weezing,Poison,None,490,65,90,120,85,70,60,1,False,1091.192009,0
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,1022.252415,0
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,1845.548699,1
113,Chansey,Normal,None,450,250,5,5,35,105,50,1,False,145.6021978,0
114,Tangela,Grass,None,435,65,55,115,100,40,60,1,False,713.8627319,0
115,Kangaskhan,Normal,None,490,105,95,80,40,80,90,1,False,1174.478608,0
115,KangaskhanMega Kangaskhan,Normal,None,590,105,125,100,60,100,100,1,False,1644.627617,1
116,Horsea,Water,None,295,30,40,70,70,25,60,1,False,340.1562141,0
117,Seadra,Water,None,440,55,65,95,95,45,85,1,False,701.997151,0
118,Goldeen,Water,None,320,45,67,60,35,50,63,1,False,550.0727225,0
119,Seaking,Water,None,450,80,92,65,65,80,68,1,False,932.8043739,0
120,Staryu,Water,None,340,30,45,55,70,55,85,1,False,336.7491648,0
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,779.4228634,0
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,397.9949748,0
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,1123.262547,0
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,411.0960958,0
125,Electabuzz,Electric,None,490,65,83,57,95,85,105,1,False,743.7677057,0
126,Magmar,Fire,None,495,65,95,57,100,85,93,1,False,834.8413023,0
127,Pinsir,Bug,None,500,65,125,100,55,70,85,1,False,1342.832827,1
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False,1766.691824,1
128,Tauros,Normal,None,490,75,100,95,40,70,110,1,False,1144.235553,0
129,Magikarp,Water,None,200,20,10,55,15,20,80,1,False,123.7436867,0
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,1423.601068,1
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,1985.43698,1
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,1173.669459,0
132,Ditto,Normal,None,288,48,48,48,48,48,48,1,False,396.9,0
133,Eevee,Normal,None,325,55,55,50,45,65,55,1,False,472.1758147,0
134,Vaporeon,Water,None,525,130,65,60,110,95,65,1,False,834.2661446,0
135,Jolteon,Electric,None,525,65,65,60,110,95,130,1,False,619.6773354,0
136,Flareon,Fire,None,525,65,130,60,95,110,65,1,False,1123.16517,0
137,Porygon,Normal,None,395,65,60,70,85,75,40,1,False,618.4658438,0
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,417.0581494,0
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,818.1534086,0
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,653.0170365,0
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,1233.288287,1
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,1046.135746,0
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False,1462.019152,1
143,Snorlax,Normal,None,540,160,110,65,65,110,30,1,False,1479.019946,1
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,1098.863049,0
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,1075.92983,0
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,1207.5,1
147,Dratini,Dragon,None,300,41,64,45,50,50,50,1,False,457.9275052,0
148,Dragonair,Dragon,None,420,61,84,65,70,70,70,1,False,771.9461121,0
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,1608.92405,1
150,Mewtwo,Psychic,None,680,106,110,90,154,90,130,1,True,1408.95573,1
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,2418.218094,1
150,MewtwoMega Mewtwo Y,Psychic,None,780,106,150,70,194,120,140,1,True,1673.347319,1
151,Mew,Psychic,None,600,100,100,100,100,100,100,1,False,1322.5,1
152,Chikorita,Grass,None,318,45,49,65,49,65,45,2,False,443.4050067,0
153,Bayleef,Grass,None,405,60,62,80,63,80,60,2,False,649.9548061,0
154,Meganium,Grass,None,525,80,82,100,83,100,80,2,False,1013.870431,0
155,Cyndaquil,Fire,None,309,39,52,43,60,50,65,2,False,374.9606379,0
156,Quilava,Fire,None,405,58,64,58,80,65,80,2,False,576.7,0
157,Typhlosion,Fire,None,534,78,84,78,109,85,100,2,False,920.7,0
158,Totodile,Water,None,314,50,65,64,44,48,43,2,False,573.2713145,0
159,Croconaw,Water,None,405,65,80,80,59,63,58,2,False,828.1907993,0
160,Feraligatr,Water,None,530,85,105,100,79,83,78,2,False,1286.856635,1
161,Sentret,Normal,None,215,35,46,34,35,45,20,2,False,301.9345956,0
162,Furret,Normal,None,415,85,76,64,45,55,90,2,False,808.825692,0
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,261.4263759,0
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,561.9775351,0
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,174.1228015,0
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,337.2684391,0
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,412.5,0
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,892.5,0
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,1023.413406,0
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,366.045489,0
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,737.9863142,0
172,Pichu,Electric,None,205,20,40,15,35,35,60,2,False,178.2203692,0
173,Cleffa,Fairy,None,218,50,25,28,45,55,15,2,False,211.4710382,0
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,252.5618736,0
175,Togepi,Fairy,None,245,35,20,65,40,65,20,2,False,221.3594362,0
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False,460.1630146,0
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False,373.396572,0
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False,742.1590126,0
179,Mareep,Electric,None,280,55,40,40,65,45,35,2,False,341.2660253,0
180,Flaaffy,Electric,None,365,70,55,55,80,60,45,2,False,539.9537017,0
181,Ampharos,Electric,None,510,90,75,85,115,90,55,2,False,922.2255689,0
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False,1234.746938,1
182,Bellossom,Grass,None,490,75,80,95,90,100,50,2,False,945.2380653,0
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False,260.1562031,0
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False,679.3977112,0
185,Sudowoodo,Rock,None,410,70,100,115,30,65,30,2,False,1208.868272,1
186,Politoed,Water,None,500,90,75,75,90,100,70,2,False,874.8999943,0
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False,262.202212,0
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False,404.7221269,0
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False,612.249949,0
190,Aipom,Normal,None,360,55,70,55,40,55,85,2,False,595,0
191,Sunkern,Grass,None,180,30,30,30,30,30,30,2,False,202.5,0
192,Sunflora,Grass,None,425,75,75,55,105,85,30,2,False,714.352854,0
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False,554.2562584,0
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False,388.8444419,0
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False,1048.808848,0
196,Espeon,Psychic,None,525,65,65,60,130,95,110,2,False,619.6773354,0
197,Umbreon,Dark,None,525,95,65,110,60,130,65,2,False,938.083152,0
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False,653.8348415,0
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False,920.0271735,0
200,Misdreavus,Ghost,None,435,60,60,60,85,85,85,2,False,562.5,0
201,Unown,Psychic,None,336,48,72,48,72,48,48,2,False,548.1,0
202,Wobbuffet,Psychic,None,405,190,33,58,33,58,33,2,False,587.1912806,0
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,783.3900689,0
